hard	0 0.939759 0.204819 12.9096 0.108434 0.0301205 0.0060241 0.0240964 0.373494 0 0.0180723 0.0481928 0 0.0060241 0.331325
harris	0.0542169 0.162651 0.0060241 0.0060241 3.84337 0 0.23494 0 0.0060241 0.0120482 0.204819 0.463855 0 0 0.0060241
hear	0 0.0060241 0.0060241 0.0060241 0 0 0.0060241 0.216867 5.63253 0.0060241 0.0120482 0.0421687 0.0060241 0.0120482 0.0481928
hidden	0 0.0060241 0.277108 1.00602 3.18072 0.0120482 0.162651 0.0060241 0 0.222892 0.0060241 0 0 0.120482 0
history	0.0120482 0.228916 0 0 0.421687 0.0060241 0.0060241 0.0301205 0.0060241 9.81325 0.246988 0.162651 0.0662651 0 0
home	0.0120482 0 0 0.0963855 0.060241 0.0060241 0.0240964 0.0060241 0.108434 26.2651 1.31928 0.0301205 0.0361446 0.0301205 0.0060241
honeymoon	0 0 0.0421687 0.222892 0.0421687 0.114458 0 0.0542169 0.114458 0.0662651 0.0903614 0.253012 0 0 0
hurdles	0 0 0.0722892 0.162651 0.0783133 0.120482 0 0.0843373 0.108434 0.0301205 0.0903614 0.253012 0 0 0
impact	0 0.0783133 0 5.16867 0 0.0240964 0.126506 0.0361446 0.0240964 0.0120482 0.0060241 0.0240964 3.4759 0.0240964 0
inadequate	0 0 0.0481928 0.204819 0.0662651 0.0963855 0 0.0421687 0.174699 0.0662651 0.0963855 0.204819 0 0 0
include	0 2.01205 0 0.0662651 0.548193 5.81928 0.0240964 0.156627 0.0301205 8.06024 0.0060241 0.0120482 0.10241 0.0421687 0.120482
indistinguishable	0 0 0.108434 0.162651 0.0783133 0.144578 0 0.0783133 0.10241 0.0481928 0.0843373 0.192771 0 0 0
initially	4.07229 0.0421687 3.31928 0.0421687 0.10241 0.0240964 0 0 0.060241 0 0.301205 0.0120482 0 0.0240964 0
integrate	0 0 0.0722892 0.204819 0.0843373 0.156627 0 0.0361446 0.060241 0.0903614 0.114458 0.180723 0 0 0
interested	0 0.433735 0.23494 0.0240964 0.0662651 0.0120482 0.0180723 0.0843373 7.89157 0 0.138554 0.0120482 0.0060241 0.0783133 0
intersect	0 0 0.10241 0.162651 0.0963855 0.0722892 0 0.0421687 0.0843373 0.0542169 0.144578 0.240964 0 0 0
interview	0.168675 0.0421687 0.0722892 0.0060241 0 0.0060241 0 0.0060241 0.0240964 7.64458 0 0.0120482 0.0180723 0 0
invalid	0 0.0120482 0 0.0060241 0 0.0120482 0.0120482 0.0060241 6.94578 0 0 0 0 0.0060241 0
involving	0.0060241 0.439759 0.0120482 0.0240964 0 0.0180723 0.0301205 0 0.0481928 1.33133 0.0120482 1.78916 0 0.289157 0
jobs	0 0 0.0180723 0.0060241 0.0060241 0.126506 0 0 1.75301 0.060241 0 0.0240964 0 0.0060241 0
joked	0 0 0.0481928 0.156627 0.0783133 0.156627 0 0.0843373 0.114458 0.0662651 0.144578 0.150602 0 0 0
jr	0 0.0060241 0.198795 0 0.0180723 0.0301205 0 0.0060241 0.644578 0.108434 0.572289 0.409639 0 0 0.0060241
kenneth	0.0361446 0.0903614 0.0301205 0.0301205 0.807229 0.0120482 0.144578 0.0060241 0.0481928 0.0662651 1.33735 0.391566 0 0 0
key	0.0180723 0.0060241 0.156627 0.554217 0.0180723 0.5 0 0.156627 0.259036 6.06024 0.10241 0.0060241 0.060241 0.0421687 0.060241
lake	0 0 0 0.0180723 0.0060241 0.849398 0.0060241 0.0120482 0.927711 0.0180723 0.114458 0.0481928 0 0 0
lambasted	0 0 0.0120482 0.180723 0.0120482 0.379518 0.0060241 0.0783133 1.13253 0 0.192771 0.0060241 0 0 0
land	0.0240964 0.0662651 0.0240964 0.445783 5.21687 0.0722892 0 0 0 0.0421687 0 7.10241 0.0060241 0 0
largest	0.0120482 1.44578 0 1.78916 0.0060241 2.54217 0.0421687 0.060241 1.43373 1.39157 0 3.54819 0.0120482 0.668675 0.0481928
lasts	0 0 0.0903614 0.162651 0.108434 0.162651 0 0.0361446 0.150602 0.0361446 0.0722892 0.180723 0 0 0
laws	0.0060241 0 0.0060241 3.91566 0 0.0060241 0.0240964 0 0 0.0120482 0 0.0060241 0.0060241 0 0.0180723
lawsuit	0 0 0.0542169 0.198795 0.0843373 0.0963855 0 0.0903614 0.13253 0.0542169 0.114458 0.174699 0 0 0
lawyer	0.0060241 0.0120482 0.0421687 0.76506 0.060241 0.114458 5.38554 0.108434 0.180723 0.156627 0.0722892 0.0903614 0.0060241 0 0
lawyers	0 0 0.0240964 0.198795 0.0120482 0.138554 0.0060241 0.246988 0.704819 0 0.283133 0.385542 0 0 0
left	0 0.0301205 0.0783133 0.0180723 0 0.0180723 0.0120482 0 0.0120482 21.6867 0.108434 0.0240964 0.0060241 0.0060241 0
legacy	0.0120482 0 0.0240964 0.0361446 0 0.0481928 0.0060241 2.01205 0.0301205 0.740964 0.0060241 0.0421687 0.0361446 0 0.0060241
